"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Standard Error
	"Pitt County, NC"	"37147"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Pitt County, NC"	"37147"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Pitt County, NC"	"37147"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Pitt County, NC"	"37147"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Pitt County, NC"	"37147"					118	881721	13.38	1.23	14.22	1.35
	"Polk County, NC"	"37149"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	284	Suppressed	Suppressed	Suppressed	Suppressed
	"Polk County, NC"	"37149"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	159	Suppressed	Suppressed	Suppressed	Suppressed
	"Polk County, NC"	"37149"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	219	Suppressed	Suppressed	Suppressed	Suppressed
	"Polk County, NC"	"37149"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	5205	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Polk County, NC"	"37149"	"Hispanic or Latino"	"2135-2"			Suppressed	5867	Suppressed	Suppressed	Suppressed	Suppressed
	"Polk County, NC"	"37149"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	324	Suppressed	Suppressed	Suppressed	Suppressed
	"Polk County, NC"	"37149"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	494	Suppressed	Suppressed	Suppressed	Suppressed
	"Polk County, NC"	"37149"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	4915	Suppressed	Suppressed	Suppressed	Suppressed
	"Polk County, NC"	"37149"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	14	90426	Unreliable	4.14	Unreliable	5.79
"Total"	"Polk County, NC"	"37149"	"Not Hispanic or Latino"	"2186-2"			15	96159	Unreliable	4.03	Unreliable	5.69
	"Polk County, NC"	"37149"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Polk County, NC"	"37149"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Polk County, NC"	"37149"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Polk County, NC"	"37149"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Polk County, NC"	"37149"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Polk County, NC"	"37149"					15	102026	Unreliable	3.80	Unreliable	5.23
	"Randolph County, NC"	"37151"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4426	Suppressed	Suppressed	Suppressed	Suppressed
	"Randolph County, NC"	"37151"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1064	Suppressed	Suppressed	Suppressed	Suppressed
	"Randolph County, NC"	"37151"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	3294	Suppressed	Suppressed	Suppressed	Suppressed
	"Randolph County, NC"	"37151"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	71225	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Randolph County, NC"	"37151"	"Hispanic or Latino"	"2135-2"			Suppressed	80009	Suppressed	Suppressed	Suppressed	Suppressed
	"Randolph County, NC"	"37151"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	3660	Suppressed	Suppressed	Suppressed	Suppressed
	"Randolph County, NC"	"37151"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	9381	Suppressed	Suppressed	Suppressed	Suppressed
	"Randolph County, NC"	"37151"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	45606	Suppressed	Suppressed	Suppressed	Suppressed
	"Randolph County, NC"	"37151"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	146	576196	25.34	2.10	27.96	2.38
"Total"	"Randolph County, NC"	"37151"	"Not Hispanic or Latino"	"2186-2"			151	634843	23.79	1.94	26.13	2.18
	"Randolph County, NC"	"37151"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Randolph County, NC"	"37151"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Randolph County, NC"	"37151"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Randolph County, NC"	"37151"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Randolph County, NC"	"37151"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Randolph County, NC"	"37151"					151	714852	21.12	1.72	22.98	1.90
	"Richmond County, NC"	"37153"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1647	Suppressed	Suppressed	Suppressed	Suppressed
	"Richmond County, NC"	"37153"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	402	Suppressed	Suppressed	Suppressed	Suppressed
	"Richmond County, NC"	"37153"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	1630	Suppressed	Suppressed	Suppressed	Suppressed
	"Richmond County, NC"	"37153"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	10853	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Richmond County, NC"	"37153"	"Hispanic or Latino"	"2135-2"			Suppressed	14532	Suppressed	Suppressed	Suppressed	Suppressed
	"Richmond County, NC"	"37153"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	5946	Suppressed	Suppressed	Suppressed	Suppressed
	"Richmond County, NC"	"37153"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2368	Suppressed	Suppressed	Suppressed	Suppressed
	"Richmond County, NC"	"37153"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	11	71772	Unreliable	4.62	Unreliable	5.23
	"Richmond County, NC"	"37153"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	30	132694	22.61	4.13	25.57	4.78
"Total"	"Richmond County, NC"	"37153"	"Not Hispanic or Latino"	"2186-2"			41	212780	19.27	3.01	21.49	3.42
	"Richmond County, NC"	"37153"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Richmond County, NC"	"37153"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Richmond County, NC"	"37153"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Richmond County, NC"	"37153"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Richmond County, NC"	"37153"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Richmond County, NC"	"37153"					42	227312	18.48	2.85	20.28	3.18
	"Robeson County, NC"	"37155"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	11992	Suppressed	Suppressed	Suppressed	Suppressed
	"Robeson County, NC"	"37155"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1190	Suppressed	Suppressed	Suppressed	Suppressed
	"Robeson County, NC"	"37155"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	3879	Suppressed	Suppressed	Suppressed	Suppressed
	"Robeson County, NC"	"37155"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	39175	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Robeson County, NC"	"37155"	"Hispanic or Latino"	"2135-2"			Suppressed	56236	Suppressed	Suppressed	Suppressed	Suppressed
	"Robeson County, NC"	"37155"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	53	264936	20.00	2.75	21.20	2.93
	"Robeson County, NC"	"37155"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	5120	Suppressed	Suppressed	Suppressed	Suppressed
	"Robeson County, NC"	"37155"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	163868	Suppressed	Suppressed	Suppressed	Suppressed
	"Robeson County, NC"	"37155"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	33	179479	18.39	3.20	19.61	3.54
"Total"	"Robeson County, NC"	"37155"	"Not Hispanic or Latino"	"2186-2"			95	613403	15.49	1.59	16.63	1.73
	"Robeson County, NC"	"37155"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Robeson County, NC"	"37155"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Robeson County, NC"	"37155"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Robeson County, NC"	"37155"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Robeson County, NC"	"37155"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Robeson County, NC"	"37155"					95	669639	14.19	1.46	15.31	1.59
	"Rockingham County, NC"	"37157"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1054	Suppressed	Suppressed	Suppressed	Suppressed
	"Rockingham County, NC"	"37157"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	450	Suppressed	Suppressed	Suppressed	Suppressed
	"Rockingham County, NC"	"37157"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	1921	Suppressed	Suppressed	Suppressed	Suppressed
	"Rockingham County, NC"	"37157"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	24269	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Rockingham County, NC"	"37157"	"Hispanic or Latino"	"2135-2"			Suppressed	27694	Suppressed	Suppressed	Suppressed	Suppressed
	"Rockingham County, NC"	"37157"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1776	Suppressed	Suppressed	Suppressed	Suppressed
	"Rockingham County, NC"	"37157"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	3147	Suppressed	Suppressed	Suppressed	Suppressed
	"Rockingham County, NC"	"37157"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	88172	Suppressed	Suppressed	Suppressed	Suppressed
	"Rockingham County, NC"	"37157"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	72	336885	21.37	2.52	24.38	2.97
"Total"	"Rockingham County, NC"	"37157"	"Not Hispanic or Latino"	"2186-2"			76	429980	17.68	2.03	20.16	2.39
	"Rockingham County, NC"	"37157"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Rockingham County, NC"	"37157"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Rockingham County, NC"	"37157"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Rockingham County, NC"	"37157"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Rockingham County, NC"	"37157"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Rockingham County, NC"	"37157"					77	457674	16.82	1.92	19.06	2.23
	"Rowan County, NC"	"37159"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2008	Suppressed	Suppressed	Suppressed	Suppressed
	"Rowan County, NC"	"37159"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	920	Suppressed	Suppressed	Suppressed	Suppressed
	"Rowan County, NC"	"37159"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	4111	Suppressed	Suppressed	Suppressed	Suppressed
	"Rowan County, NC"	"37159"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	51336	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Rowan County, NC"	"37159"	"Hispanic or Latino"	"2135-2"			Suppressed	58375	Suppressed	Suppressed	Suppressed	Suppressed
	"Rowan County, NC"	"37159"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2421	Suppressed	Suppressed	Suppressed	Suppressed
	"Rowan County, NC"	"37159"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	8461	Suppressed	Suppressed	Suppressed	Suppressed
	"Rowan County, NC"	"37159"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	114880	Suppressed	Suppressed	Suppressed	Suppressed
	"Rowan County, NC"	"37159"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	171	512535	33.36	2.55	36.56	2.88
"Total"	"Rowan County, NC"	"37159"	"Not Hispanic or Latino"	"2186-2"			180	638297	28.20	2.10	30.48	2.33
	"Rowan County, NC"	"37159"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Rowan County, NC"	"37159"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Rowan County, NC"	"37159"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Rowan County, NC"	"37159"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Rowan County, NC"	"37159"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Rowan County, NC"	"37159"					182	696672	26.12	1.94	28.05	2.12
	"Rutherford County, NC"	"37161"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	400	Suppressed	Suppressed	Suppressed	Suppressed
	"Rutherford County, NC"	"37161"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	275	Suppressed	Suppressed	Suppressed	Suppressed
	"Rutherford County, NC"	"37161"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	840	Suppressed	Suppressed	Suppressed	Suppressed
	"Rutherford County, NC"	"37161"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	12206	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Rutherford County, NC"	"37161"	"Hispanic or Latino"	"2135-2"			Suppressed	13721	Suppressed	Suppressed	Suppressed	Suppressed
	"Rutherford County, NC"	"37161"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1054	Suppressed	Suppressed	Suppressed	Suppressed
	"Rutherford County, NC"	"37161"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2142	Suppressed	Suppressed	Suppressed	Suppressed
	"Rutherford County, NC"	"37161"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	34434	Suppressed	Suppressed	Suppressed	Suppressed
	"Rutherford County, NC"	"37161"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	67	281567	23.80	2.91	24.11	3.11
"Total"	"Rutherford County, NC"	"37161"	"Not Hispanic or Latino"	"2186-2"			68	319197	21.30	2.58	21.53	2.75
	"Rutherford County, NC"	"37161"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Rutherford County, NC"	"37161"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Rutherford County, NC"	"37161"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Rutherford County, NC"	"37161"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Rutherford County, NC"	"37161"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Rutherford County, NC"	"37161"					69	332918	20.73	2.50	21.06	2.66
	"Sampson County, NC"	"37163"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4782	Suppressed	Suppressed	Suppressed	Suppressed
	"Sampson County, NC"	"37163"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1224	Suppressed	Suppressed	Suppressed	Suppressed
	"Sampson County, NC"	"37163"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	4338	Suppressed	Suppressed	Suppressed	Suppressed
	"Sampson County, NC"	"37163"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	49448	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Sampson County, NC"	"37163"	"Hispanic or Latino"	"2135-2"			Suppressed	59792	Suppressed	Suppressed	Suppressed	Suppressed
	"Sampson County, NC"	"37163"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	6115	Suppressed	Suppressed	Suppressed	Suppressed
	"Sampson County, NC"	"37163"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1742	Suppressed	Suppressed	Suppressed	Suppressed
	"Sampson County, NC"	"37163"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	83830	Suppressed	Suppressed	Suppressed	Suppressed
	"Sampson County, NC"	"37163"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	33	166999	19.76	3.44	22.99	4.09
"Total"	"Sampson County, NC"	"37163"	"Not Hispanic or Latino"	"2186-2"			43	258686	16.62	2.53	18.21	2.87
	"Sampson County, NC"	"37163"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Sampson County, NC"	"37163"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Sampson County, NC"	"37163"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Sampson County, NC"	"37163"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Sampson County, NC"	"37163"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Sampson County, NC"	"37163"					45	318478	14.13	2.11	15.18	2.30
	"Scotland County, NC"	"37165"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1131	Suppressed	Suppressed	Suppressed	Suppressed
	"Scotland County, NC"	"37165"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	59	Suppressed	Suppressed	Suppressed	Suppressed
	"Scotland County, NC"	"37165"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	740	Suppressed	Suppressed	Suppressed	Suppressed
	"Scotland County, NC"	"37165"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	3157	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Scotland County, NC"	"37165"	"Hispanic or Latino"	"2135-2"			Suppressed	5087	Suppressed	Suppressed	Suppressed	Suppressed
	"Scotland County, NC"	"37165"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	20558	Suppressed	Suppressed	Suppressed	Suppressed
	"Scotland County, NC"	"37165"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1639	Suppressed	Suppressed	Suppressed	Suppressed
	"Scotland County, NC"	"37165"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	70039	Suppressed	Suppressed	Suppressed	Suppressed
	"Scotland County, NC"	"37165"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	19	80124	Unreliable	5.44	Unreliable	6.14
"Total"	"Scotland County, NC"	"37165"	"Not Hispanic or Latino"	"2186-2"			25	172360	14.50	2.90	15.21	3.11
	"Scotland County, NC"	"37165"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Scotland County, NC"	"37165"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Scotland County, NC"	"37165"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Scotland County, NC"	"37165"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Scotland County, NC"	"37165"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Scotland County, NC"	"37165"					26	177447	14.65	2.87	15.39	3.08
	"Stanly County, NC"	"37167"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	185	Suppressed	Suppressed	Suppressed	Suppressed
	"Stanly County, NC"	"37167"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	1015	Suppressed	Suppressed	Suppressed	Suppressed
	"Stanly County, NC"	"37167"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	867	Suppressed	Suppressed	Suppressed	Suppressed
	"Stanly County, NC"	"37167"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	10245	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Stanly County, NC"	"37167"	"Hispanic or Latino"	"2135-2"			Suppressed	12312	Suppressed	Suppressed	Suppressed	Suppressed
	"Stanly County, NC"	"37167"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1073	Suppressed	Suppressed	Suppressed	Suppressed
	"Stanly County, NC"	"37167"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	6177	Suppressed	Suppressed	Suppressed	Suppressed
	"Stanly County, NC"	"37167"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	35468	Suppressed	Suppressed	Suppressed	Suppressed
	"Stanly County, NC"	"37167"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	49	249192	19.66	2.81	22.19	3.26
"Total"	"Stanly County, NC"	"37167"	"Not Hispanic or Latino"	"2186-2"			52	291910	17.81	2.47	19.74	2.81
	"Stanly County, NC"	"37167"	"Not Stated"	"NS"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Stanly County, NC"	"37167"	"Not Stated"	"NS"	"Asian or Pacific Islander"	"A-PI"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Stanly County, NC"	"37167"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Stanly County, NC"	"37167"	"Not Stated"	"NS"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Stanly County, NC"	"37167"	"Not Stated"	"NS"			Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
"Total"	"Stanly County, NC"	"37167"					52	304222	17.09	2.37	18.85	2.67
	"Stokes County, NC"	"37169"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	350	Suppressed	Suppressed	Suppressed	Suppressed
	"Stokes County, NC"	"37169"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	77	Suppressed	Suppressed	Suppressed	Suppressed
	"Stokes County, NC"	"37169"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	Suppressed	404	Suppressed	Suppressed	Suppressed	Suppressed
	"Stokes County, NC"	"37169"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	Suppressed	5934	Suppressed	Suppressed	Suppressed	Suppressed
"Total"	"Stokes County, NC"	"37169"	"Hispanic or Latino"	"2135-2"			Suppressed	6765	Suppressed	Suppressed	Suppressed	Suppressed
	"Stokes County, NC"	"37169"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	733	Suppressed	Suppressed	Suppressed	Suppressed
	"Stokes County, NC"	"37169"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	892	Suppressed	Suppressed	Suppressed	Suppressed
